
2023-07-17_05-02-41: cars 1, truck 0, bus 0, side: left
2023-07-17_05-02-41: cars 9, truck 1, bus 0, side: right
2023-07-17_05-07-44: cars 0, truck 0, bus 0, side: left
2023-07-17_05-07-44: cars 9, truck 1, bus 1, side: right
2023-07-17_05-12-45: cars 0, truck 0, bus 0, side: left
2023-07-17_05-12-45: cars 6, truck 0, bus 1, side: right
2023-07-17_05-17-48: cars 1, truck 0, bus 0, side: left
2023-07-17_05-17-48: cars 7, truck 1, bus 1, side: right
2023-07-17_05-22-50: cars 0, truck 0, bus 0, side: left
2023-07-17_05-22-50: cars 10, truck 5, bus 2, side: right
2023-07-17_05-27-52: cars 0, truck 0, bus 0, side: left
2023-07-17_05-27-52: cars 7, truck 2, bus 3, side: right
2023-07-17_05-32-54: cars 0, truck 0, bus 0, side: left
2023-07-17_05-32-54: cars 7, truck 4, bus 3, side: right
2023-07-17_05-37-56: cars 0, truck 0, bus 0, side: left
2023-07-17_05-37-56: cars 7, truck 3, bus 2, side: right
2023-07-17_05-42-59: cars 0, truck 0, bus 0, side: left
2023-07-17_05-42-59: cars 10, truck 3, bus 3, side: right
2023-07-17_05-48-01: cars 0, truck 0, bus 0, side: left
2023-07-17_05-48-01: cars 10, truck 4, bus 3, side: right
2023-07-17_05-53-03: cars 0, truck 0, bus 0, side: left
2023-07-17_05-53-03: cars 10, truck 2, bus 1, side: right
2023-07-17_05-58-05: cars 1, truck 0, bus 0, side: left
2023-07-17_05-58-05: cars 10, truck 1, bus 1, side: right
2023-07-17_06-03-08: cars 0, truck 0, bus 0, side: left
2023-07-17_06-03-08: cars 5, truck 3, bus 1, side: right
2023-07-17_06-08-10: cars 0, truck 0, bus 0, side: left
2023-07-17_06-08-10: cars 5, truck 4, bus 0, side: right
2023-07-17_06-13-12: cars 0, truck 0, bus 0, side: left
2023-07-17_06-13-12: cars 9, truck 2, bus 1, side: right
2023-07-17_06-18-14: cars 0, truck 0, bus 0, side: left
2023-07-17_06-18-14: cars 10, truck 3, bus 1, side: right
2023-07-17_06-23-16: cars 0, truck 0, bus 0, side: left
2023-07-17_06-23-16: cars 8, truck 4, bus 1, side: right
2023-07-17_06-28-18: cars 0, truck 0, bus 0, side: left
2023-07-17_06-28-18: cars 11, truck 3, bus 2, side: right
2023-07-17_06-33-20: cars 1, truck 0, bus 0, side: left
2023-07-17_06-33-20: cars 11, truck 3, bus 0, side: right
2023-07-17_06-38-22: cars 0, truck 0, bus 0, side: left
2023-07-17_06-38-22: cars 11, truck 4, bus 0, side: right
2023-07-17_06-43-25: cars 0, truck 0, bus 0, side: left
2023-07-17_06-43-25: cars 9, truck 2, bus 0, side: right
2023-07-17_06-48-27: cars 0, truck 0, bus 0, side: left
2023-07-17_06-48-27: cars 7, truck 5, bus 0, side: right
2023-07-17_06-53-29: cars 0, truck 0, bus 0, side: left
2023-07-17_06-53-29: cars 10, truck 3, bus 0, side: right
2023-07-17_06-58-32: cars 0, truck 0, bus 0, side: left
2023-07-17_06-58-32: cars 9, truck 4, bus 0, side: right
2023-07-17_07-03-34: cars 0, truck 0, bus 0, side: left
2023-07-17_07-03-34: cars 10, truck 4, bus 0, side: right
2023-07-17_07-08-35: cars 0, truck 0, bus 0, side: left
2023-07-17_07-08-35: cars 8, truck 3, bus 0, side: right
2023-07-17_07-13-38: cars 0, truck 0, bus 0, side: left
2023-07-17_07-13-38: cars 11, truck 5, bus 0, side: right
2023-07-17_07-18-40: cars 0, truck 0, bus 0, side: left
2023-07-17_07-18-40: cars 10, truck 5, bus 0, side: right
2023-07-17_07-23-42: cars 0, truck 0, bus 0, side: left
2023-07-17_07-23-42: cars 11, truck 4, bus 0, side: right
2023-07-17_07-28-44: cars 0, truck 0, bus 0, side: left
2023-07-17_07-28-44: cars 6, truck 2, bus 1, side: right
2023-07-17_07-33-46: cars 0, truck 0, bus 0, side: left
2023-07-17_07-33-46: cars 9, truck 2, bus 0, side: right
2023-07-17_07-38-48: cars 0, truck 0, bus 0, side: left
2023-07-17_07-38-48: cars 8, truck 0, bus 0, side: right
2023-07-17_07-43-51: cars 0, truck 0, bus 0, side: left
2023-07-17_07-43-51: cars 11, truck 1, bus 0, side: right
2023-07-17_07-48-53: cars 0, truck 0, bus 1, side: left
2023-07-17_07-48-53: cars 9, truck 2, bus 0, side: right
2023-07-17_07-53-55: cars 0, truck 0, bus 0, side: left
2023-07-17_07-53-55: cars 10, truck 2, bus 0, side: right
2023-07-17_07-58-58: cars 0, truck 0, bus 0, side: left
2023-07-17_07-58-58: cars 12, truck 2, bus 0, side: right
2023-07-17_08-04-01: cars 0, truck 0, bus 0, side: left
2023-07-17_08-04-01: cars 10, truck 2, bus 0, side: right
2023-07-17_08-09-03: cars 0, truck 0, bus 0, side: left
2023-07-17_08-09-03: cars 11, truck 2, bus 0, side: right
2023-07-17_08-14-05: cars 0, truck 0, bus 0, side: left
2023-07-17_08-14-05: cars 8, truck 0, bus 1, side: right
2023-07-17_08-19-07: cars 0, truck 0, bus 0, side: left
